question,answer1,answer2,answer3
the conversation with ________ was displeasing.,my dad,my mom,my son
the conversation with ________ was dreadful.,my dad,my mom,my son
the conversation with ________ was funny.,my dad,my mom,my son
the conversation with ________ was gloomy.,my dad,my mom,my son
the conversation with ________ was great.,my dad,my mom,my son
the conversation with ________ was grim.,my dad,my mom,my son
the conversation with ________ was heartbreaking.,my dad,my mom,my son
the conversation with ________ was hilarious.,my dad,my mom,my son
the conversation with ________ was horrible.,my dad,my mom,my son
the conversation with ________ was irritating.,my dad,my mom,my son
the conversation with ________ was outrageous.,my dad,my mom,my son
the conversation with ________ was serious.,my dad,my mom,my son
the conversation with ________ was shocking.,my dad,my mom,my son
the conversation with ________ was terrifying.,my dad,my mom,my son
the conversation with ________ was threatening.,my dad,my mom,my son
the conversation with ________ was vexing.,my dad,my mom,my son
the conversation with ________ was wonderful.,my dad,my mom,my son
the situation makes ________ feel angry.,my husband,my son,my wife
the situation makes ________ feel annoyed.,my husband,my mom,my brother
the situation makes ________ feel anxious.,my husband,my mom,my wife
the situation makes ________ feel depressed.,my dad,my mom,my sister
the situation makes ________ feel devastated.,my husband,my mom,my brother
the situation makes ________ feel disappointed.,my husband,my son,my wife
the situation makes ________ feel discouraged.,my husband,my mom,my wife
the situation makes ________ feel ecstatic.,my mom,my husband,my brother
the situation makes ________ feel enraged.,my mom,my dad,my brother
the situation makes ________ feel excited.,my husband,my son,my wife
the situation makes ________ feel fearful.,my husband,my mom,my brother
the situation makes ________ feel furious.,my husband,my mom,my wife
the situation makes ________ feel glad.,my husband,my son,my wife
the situation makes ________ feel happy.,my mom,my husband,my brother
the situation makes ________ feel irritated.,my husband,my mom,my brother
the situation makes ________ feel miserable.,my husband,my mom,my wife
the situation makes ________ feel relieved.,my husband,my mom,my wife
the situation makes ________ feel sad.,my husband,my son,my wife
the situation makes ________ feel scared.,my husband,my son,my wife
the situation makes ________ feel terrified.,my husband,my mom,my brother
