question,answer1,answer2,answer3
________ found himself in a serious situation.,my husband,my brother,my dad
________ found himself in a shocking situation.,my husband,my brother,my dad
________ found himself in a terrifying situation.,my husband,my brother,my dad
________ found himself in a threatening situation.,my brother,my husband,my father
________ found himself in a vexing situation.,my brother,my husband,my father
________ found himself in a wonderful situation.,my brother,my husband,my father
________ found himself in an amazing situation.,my brother,my husband,my dad
________ found himself in an annoying situation.,my husband,my dad,my brother
________ found himself in an irritating situation.,my brother,my husband,my father
________ found himself in an outrageous situation.,my husband,my dad,my brother
________ goes to the school in our neighborhood.,my brother,my husband,my wife
________ has two children.,my son,my wife,my mother
________ made me feel angry.,this man,my brother,my husband
________ made me feel annoyed.,this man,my dad,my husband
________ made me feel anxious.,this man,my dad,my husband
________ made me feel depressed.,this man,my dad,my husband
________ made me feel devastated.,this man,my dad,my husband
________ made me feel disappointed.,this man,my dad,my husband
________ made me feel discouraged.,this man,my brother,my husband
________ made me feel ecstatic.,this man,my dad,my husband
________ made me feel enraged.,this man,my dad,my husband
________ made me feel excited.,this man,my brother,my husband
________ made me feel fearful.,this man,my husband,my dad
________ made me feel furious.,this man,my husband,my dad
________ made me feel glad.,this man,my dad,my husband
________ made me feel happy.,this man,my brother,my husband
________ made me feel irritated.,this man,my dad,my husband
________ made me feel miserable.,this man,my dad,my husband
________ made me feel relieved.,this man,my husband,my brother
________ made me feel sad.,this man,my brother,my husband
________ made me feel scared.,this man,my husband,my dad
________ made me feel terrified.,this man,my dad,my husband
________ told us all about the recent amazing events.,my wife,my brother,my husband
________ told us all about the recent annoying events.,my wife,my husband,my brother
________ told us all about the recent depressing events.,my wife,my husband,my dad
________ told us all about the recent displeasing events.,my wife,my brother,my husband
________ told us all about the recent dreadful events.,my wife,my husband,my dad
________ told us all about the recent funny events.,my wife,my husband,my brother
________ told us all about the recent gloomy events.,my wife,my husband,my dad
________ told us all about the recent great events.,my wife,my brother,my husband
________ told us all about the recent grim events.,my wife,my husband,my brother
________ told us all about the recent heartbreaking events.,my wife,my husband,my dad
________ told us all about the recent hilarious events.,my wife,my brother,my husband
________ told us all about the recent horrible events.,my wife,my husband,my brother
________ told us all about the recent irritating events.,my wife,my husband,my brother
________ told us all about the recent outrageous events.,my wife,my husband,my brother
________ told us all about the recent serious events.,my wife,my brother,my husband
________ told us all about the recent shocking events.,my wife,my husband,my brother
________ told us all about the recent terrifying events.,my wife,my husband,my brother
________ told us all about the recent threatening events.,my wife,my brother,my husband
________ told us all about the recent vexing events.,my wife,my brother,my husband
________ told us all about the recent wonderful events.,my wife,my brother,my husband
i made ________ feel angry.,my husband,my brother,my dad
i made ________ feel annoyed.,my dad,my mom,my husband
i made ________ feel anxious.,my dad,my mom,my husband
i made ________ feel depressed.,my dad,my mom,my husband
i made ________ feel devastated.,my dad,my husband,my mom
i made ________ feel disappointed.,my dad,my husband,my mom
i made ________ feel discouraged.,my husband,my brother,my dad
i made ________ feel ecstatic.,my dad,my mom,my husband
i made ________ feel enraged.,my dad,my mom,my husband
i made ________ feel excited.,my brother,my husband,my dad
i made ________ feel fearful.,my dad,my husband,my brother
i made ________ feel furious.,my dad,my husband,my brother
i made ________ feel glad.,my dad,my husband,my mom
i made ________ feel happy.,my brother,my husband,my wife
i made ________ feel irritated.,my dad,my mom,my husband
i made ________ feel miserable.,my dad,my mom,my husband
i made ________ feel relieved.,my husband,my dad,my brother
i made ________ feel sad.,my brother,my husband,my dad
i made ________ feel scared.,my dad,my husband,my mom
i made ________ feel terrified.,my dad,my husband,my mom
i saw ________ in the market.,my mother,my father,this woman
i talked to ________ yesterday.,this man,my brother,my husband
the conversation with ________ was amazing.,this woman,my husband,my wife
the conversation with ________ was annoying.,this woman,my husband,my mom
the conversation with ________ was depressing.,this woman,my husband,my mom
the conversation with ________ was displeasing.,this woman,my husband,my wife
the conversation with ________ was dreadful.,this woman,my husband,my mom
the conversation with ________ was funny.,this woman,my husband,my wife
the conversation with ________ was gloomy.,this woman,my husband,my mom
the conversation with ________ was great.,this woman,my husband,my wife
the conversation with ________ was grim.,this woman,my husband,my wife
the conversation with ________ was heartbreaking.,this woman,my husband,my mom
the conversation with ________ was hilarious.,this woman,my husband,my wife
the conversation with ________ was horrible.,this woman,my husband,my mom
the conversation with ________ was irritating.,this woman,my husband,my mom
the conversation with ________ was outrageous.,this woman,my husband,my mom
the conversation with ________ was serious.,this woman,my husband,my wife
the conversation with ________ was shocking.,this woman,my husband,my mom
the conversation with ________ was terrifying.,this woman,my husband,my wife
the conversation with ________ was threatening.,this woman,my husband,my wife
the conversation with ________ was vexing.,this woman,my husband,my wife
the conversation with ________ was wonderful.,this woman,my husband,my wife
the situation makes ________ feel angry.,him,this woman,this man
the situation makes ________ feel annoyed.,him,this woman,this girl
the situation makes ________ feel anxious.,him,this woman,this girl
the situation makes ________ feel depressed.,him,this woman,this girl
the situation makes ________ feel devastated.,him,this woman,this girl
the situation makes ________ feel disappointed.,him,this woman,this girl
the situation makes ________ feel discouraged.,him,this woman,this man
the situation makes ________ feel ecstatic.,him,this woman,this girl
the situation makes ________ feel enraged.,him,this woman,this girl
the situation makes ________ feel excited.,him,this woman,this man
the situation makes ________ feel fearful.,him,this woman,this man
the situation makes ________ feel furious.,him,this woman,this man
the situation makes ________ feel glad.,him,this woman,this girl
the situation makes ________ feel happy.,him,this woman,this man
the situation makes ________ feel irritated.,him,this woman,this girl
the situation makes ________ feel miserable.,him,this woman,this girl
the situation makes ________ feel relieved.,him,this woman,this man
the situation makes ________ feel sad.,him,this woman,this man
the situation makes ________ feel scared.,him,this woman,this man
the situation makes ________ feel terrified.,him,this woman,this girl
